Distance,Distance_36k,Line,ANTOSTRAT_basement,bedmap2_bed,Susc,Window_Width,x,y,Depth,Depth_filtered,Depth_36k,binned,counts,oib_basement,oib_basement_filt,filt_clip
433000.0,432000.0,404.65,,-674.529518051879,3.320701716565965,8862.07743125,-36921.302465547604,-1091480.46304257,-5635.95825172307,-5635.95825172307,-1150.766205050063,0.0,60.0,-1533.0939854176434,-1601.5188404652115,-1601.5188404652115
438000.0,432000.0,404.65,,-684.653908648783,2.03593995672056,8153.111236749999,-32373.08256096325,-1091504.8449156298,-5979.003417726805,-5979.003417726805,-1026.5030679635972,0.0,60.0,-1315.6670495560124,-1436.9785457840208,-1436.9785457840208
443000.0,432000.0,404.65,,-699.867772423127,1.8308335665717248,8153.111236749999,-25959.4438786688,-1091555.36453825,-5451.278075948225,-5451.278075948225,-1001.6504405463043,0.0,60.0,-1133.9451304872673,-1266.638154623565,-1266.638154623565
448000.0,432000.0,404.65,,-709.5119615408689,2.830719155423205,8507.594334,-22150.899631196553,-1091586.727466085,-4637.266357226445,-4637.266357226445,-976.797813129011,0.0,60.0,-987.9282282114074,-1108.543368406518,-1108.543368406518
453000.0,432000.0,404.65,,-720.882615337285,1.767473392815985,7621.3865908749995,-16876.0759016884,-1091612.7565085501,-2189.7809447136324,-2189.7809447136324,-938.7065126619534,0.0,60.0,-877.6163427284336,-980.3789745271011,-980.3789745271011
458000.0,432000.0,404.65,,-729.724907657433,1.322757773012395,3899.3140697500003,-12006.23280877055,-1091632.942785565,-1173.221923752785,-1173.221923752785,-914.3357324284061,0.0,60.0,-803.009474038345,-887.9195974405701,-887.9195974405701
463000.0,432000.0,404.65,,-737.184000005015,2.362088454288015,3899.3140697500003,-5011.61341384507,-1091645.689530185,-1842.5230711905199,-1842.5230711905199,-863.969453279075,0.0,60.0,-764.1076221411422,-827.5934646672385,-827.5934646672385
468000.0,450000.0,404.65,,-739.8353033297604,2.774257221472205,4608.28026425,-244.79697435088997,-1091665.0436399952,-1957.4010008740352,-1957.4010008740352,-859.0952972323655,0.0,88.0,-760.910787036825,-792.2570312477352,-792.2570312477352
473000.0,468000.0,404.65,,-741.776854912858,2.690473853804805,9216.5605285,2906.9376449349347,-1091707.2320558298,-1658.18090811097,-1658.18090811097,-854.221141185656,0.0,116.0,-771.9883338472783,-774.7667522226881,-774.7667522226881
478000.0,468000.0,404.65,,-743.6125923250415,1.32290221789131,5671.729556,6389.561538704425,-1091745.17246127,-1105.9163267299896,-1105.9163267299896,-816.8526114942167,0.0,116.0,-775.9096276943869,-767.9790826327256,-767.9790826327256
483000.0,468000.0,404.65,,-746.8963623129421,1.83996574997119,4608.28026425,12572.8485281415,-1091790.26584958,-1572.48449698113,-1572.48449698113,-781.1088004850142,0.0,116.0,-772.6746685781511,-764.7504775184761,-764.7504775184761
488000.0,468000.0,404.65,,-753.5689302677115,2.49266045086353,4608.28026425,19427.194426235197,-1091797.5986628798,-1552.10876455996,-1552.10876455996,-775.9276546374222,0.0,116.0,-762.2834564985704,-757.9373919205681,-757.9373919205681
493000.0,468000.0,404.65,,-759.0115195059655,2.11936639247436,4253.797167000001,23185.1317640953,-1091832.904832305,-1019.45202629718,-1019.45202629718,-782.8308249985566,0.0,116.0,-744.7359914556454,-743.9680533593151,-759.0115195059655
498000.0,468000.0,404.65,,-766.8838742504186,2.319304086954015,2481.3816807499998,28137.74505074,-1091871.36903889,-1197.907836837865,-1197.907836837865,-792.0350521467359,0.0,116.0,-720.0322734493757,-725.9931877775634,-766.8838742504186
503000.0,468000.0,404.65,,-775.5253424414896,1.8199994289089352,3190.3478752499996,33156.1142471155,-1091933.648708695,-984.5626252034424,-984.5626252034424,-826.5509039524084,0.0,116.0,-688.1723024797614,-713.6618933752784,-775.5253424414896
508000.0,504000.0,404.65,,-783.1917025046415,2.81038432627719,4962.7633614999995,37825.7354543986,-1091905.787259885,-2976.437377791835,-2976.437377791835,-838.0561878876326,0.0,70.0,-668.0604342038772,-716.8201887238529,-783.1917025046415
513000.0,504000.0,404.65,,-790.7496428393805,2.626719897327085,6380.6957505,43099.5530458876,-1091946.376376855,-2087.29235829141,-2087.29235829141,-842.6583014617222,0.0,70.0,-698.6869021644403,-745.3140923946803,-790.7496428393805
518000.0,504000.0,404.65,,-795.2481068868556,2.10071499571939,4608.28026425,48205.11175116665,-1091973.9568505702,-1558.15466299725,-1558.15466299725,-869.1204545127378,0.0,70.0,-781.2332285900179,-808.989622959154,-808.989622959154
523000.0,504000.0,404.65,,-797.1224806604044,2.8238692139729,9925.526723,53096.640905796405,-1091966.08138241,-1864.465942283505,-1864.465942283505,-946.6526600038474,0.0,70.0,-915.69941348061,-917.6927989886666,-917.6927989886666
528000.0,504000.0,404.65,,-795.8391504643815,1.2022176855068398,5317.24645875,57453.2692476249,-1092034.73616894,-1389.32568351092,-1389.32568351092,-1938.6538148607583,0.0,70.0,-1102.0854568362167,-1078.118913111766,-1078.118913111766
533000.0,504000.0,404.65,,-789.1650258254135,1.0613159507277,4253.797167000001,63186.41483819025,-1092075.704953495,-3051.111205914245,-3051.111205914245,-1979.9871963131295,0.0,70.0,-1340.3913586568374,-1288.0355773197834,-1288.0355773197834
538000.0,522000.0,404.65,,-778.747017183236,1.021539265340225,6735.17884775,70046.3078618654,-1092112.04180423,-3841.970458816515,-3841.970458816515,-2021.320577765501,0.0,45.5,-1630.6171189424729,-1535.0263265588937,-1535.0263265588937
543000.0,540000.0,404.65,,-769.509267674141,1.0451650281669667,9216.5605285,74133.35351791703,-1092139.2203603834,-2920.1778156193063,-2920.1778156193063,-2055.765062309144,0.0,21.0,-1958.1868874125453,-1805.5950031618959,-1805.5950031618959
548000.0,540000.0,404.65,,-764.436312079538,1.0670709579786735,8507.594334,76271.27069140886,-1092157.3443732567,-2573.4322915427833,-2573.4322915427833,-2069.542856126601,0.0,21.0,-2263.17772402468,-2086.245449461588,-2086.245449461588
553000.0,540000.0,404.65,,-748.3518602497305,33.75739948797312,8862.07743125,82860.1125011887,-1092191.248386735,-8739.049071928006,-8739.049071928006,-2310.6542479321,0.0,21.0,-2539.111473098623,-2363.4815077907692,-2363.4815077907692
558000.0,540000.0,404.65,,-724.510928615323,5.02660789144948,4962.7633614999995,95446.10585886441,-1092240.8134524552,-7879.100585629675,-7879.100585629675,-2785.98813463437,0.0,21.0,-2785.9881346343705,-2623.807020482238,-2623.807020482238
563000.0,540000.0,404.65,,-719.7680371814157,5.994382357942385,5317.24645875,98080.65960279756,-1092254.5025577066,-9030.531493792882,-9030.531493792882,-2792.607321951035,0.0,21.0,-3003.8077086319254,-2856.155138248889,-2856.155138248889
568000.0,540000.0,404.65,,-715.0251457475085,6.96215682443529,5671.729556,100715.21334673071,-1092268.1916629577,-10181.962401956087,-10181.962401956087,-2799.2265092677,0.0,21.0,-3192.5701950912853,-3059.7328417936774,-3059.7328417936774
573000.0,540000.0,404.65,,-710.2822543136012,7.929931290928195,6026.21265325,103349.76709066385,-1092281.8807682088,-11333.393310119292,-11333.393310119292,-2805.845696584365,0.0,21.0,-3352.2755940124525,-3237.4785326089864,-3237.4785326089864
578000.0,552000.0,404.65,,-701.409696421285,2.0067324433230667,6853.339880166666,109128.88620147867,-1092300.57730532,-7029.441243211224,-7029.441243211224,-2847.7672162565773,0.0,28.0,-3484.643945293407,-3392.9756271489455,-3392.9756271489455
583000.0,564000.0,404.65,,-697.449013805104,1.9617942652167433,5908.051620833334,112104.90983968534,-1092310.85983921,-5903.273111739847,-5903.273111739847,-2856.592799345464,0.0,35.0,-3605.5856179904786,-3529.807541867683,-3529.807541867683
