Distance,Distance_36k,x,y,Line,bedmap2_bed,Susc,Window_Width,Depth,data/results/rosetta_lindeque_basement_g80kfilt.nc,Depth_filtered,Depth_36k,binned,counts,rs_basement,rs_basement_filt,filt_clip
313000.0,288000.0,65218.623387600004,-1092107.14935,650.0,-787.5387306125,2.15098138403,21588.423038200002,-5163.419433380001,-1480.799696425,-5163.419433380001,-979.4366078436972,0.0,62.0,-675.2882165276746,-917.5884303807694,-917.5884303807694
318000.0,288000.0,59985.843702800004,-1092066.710895,650.0,-793.4323186700001,3.118391291245,12401.860043275,-4298.21691876,-1382.0987333399999,-4298.21691876,-975.7039167648286,0.0,62.0,-582.157371774935,-764.8760922746815,-793.4323186700001
323000.0,288000.0,54146.264303799995,-1092057.71283,650.0,-796.789034282,1.3432763537949999,3215.29704825,-1038.2263793215,-1286.8580838849998,-1038.2263793215,-957.0404613704856,0.0,62.0,-595.7909587367723,-693.7436210554282,-796.789034282
328000.0,324000.0,49272.5203227,-1092119.76904,650.0,-796.095043094,4.612169084035,24344.39193675,-2779.20312487,-1214.292009055,-2779.20312487,-924.6904720202909,0.0,141.0,-678.993312436829,-684.8182745478234,-796.095043094
333000.0,324000.0,44297.9950331,-1092181.2322,650.0,-791.918384651,4.122613456905,17913.7978402,-4043.132934395,-1140.60927339,-4043.132934395,-892.3404826700963,0.0,141.0,-755.0483738613666,-718.7273105766807,-791.918384651
338000.0,324000.0,38757.7515471,-1092240.3841749998,650.0,-784.645939297,1.42896657593,12861.188192975002,-1461.1889647550001,-1061.1457465899998,-1461.1889647550001,-883.6308701527363,0.0,141.0,-821.631413949363,-776.0979869668136,-784.645939297
343000.0,324000.0,34427.423253550005,-1092289.48648,650.0,-778.207972836,12.540313694810001,15157.828941775,-5475.2008664745,-1004.625914443,-5475.2008664745,-870.0445763676903,0.0,141.0,-878.7424327008182,-837.5575615430356,-837.5575615430356
348000.0,324000.0,29245.54739495,-1092347.2715500002,650.0,-769.0977075265,26.262140771745,20210.438588949997,-9365.61132778,-946.904499318,-9365.61132778,-913.3094619929689,0.0,141.0,-926.381430115732,-889.93256962622,-889.93256962622
353000.0,324000.0,24192.6323309,-1092399.1922300002,650.0,-760.396768582,1.37436005164,2296.64074875,-919.8554686835,-902.3701916515,-919.8554686835,-947.3969476371276,0.0,141.0,-964.5484061941042,-933.4742756617248,-933.4742756617248
358000.0,324000.0,19916.93060725,-1092450.553055,650.0,-754.5767258615001,3.4070343020099996,5971.26594675,-2623.15063464,-873.0028929135,-2623.15063464,-959.1964618985671,0.0,141.0,-993.2433609359357,-971.447244903733,-971.447244903733
363000.0,360000.0,14083.38824115,-1092527.092125,650.0,-748.2881238555,1.52723602049,7349.2503959999995,-1800.36169424,-841.529716259,-1800.36169424,-965.7517475993668,0.0,280.0,-1016.2986100743964,-1007.3999178459209,-1007.3999178459209
368000.0,360000.0,9199.179815115,-1092591.9845750001,650.0,-744.757858428,3.1260691131250002,8727.23484525,-1580.767822175,-821.9453810385,-1580.767822175,-997.2171189632056,0.0,280.0,-1049.4692294014114,-1044.8807349819656,-1044.8807349819656
373000.0,360000.0,4164.331952914999,-1092648.696125,650.0,-742.4996192265,64.85653312275,20669.76673875,-8857.303954755,-808.803408957,-8857.303954755,-1058.8368045507234,0.0,280.0,-1094.4584703539463,-1087.4381368055438,-1087.4381368055438
378000.0,360000.0,-855.653752593,-1092647.51069,650.0,-739.9122782375,2.026701463925,5971.26594675,-1805.0463866199998,-806.1989492934999,-1805.0463866199998,-1151.266332932,0.0,280.0,-1151.2663329319998,-1138.6205638103322,-1138.6205638103322
383000.0,360000.0,-5854.487496170001,-1092516.732845,650.0,-736.4848885465001,48.07429972575,21129.094888500003,-10338.35253867,-819.131495824,-10338.35253867,-1341.6124732914218,0.0,280.0,-1219.8928171355733,-1201.3377372011457,-1201.3377372011457
388000.0,360000.0,-10602.67620205,-1092396.91673,650.0,-731.731074975,7.25618545322,13320.516342775001,-4296.937866025,-849.5818112375,-4296.937866025,-1454.791259451078,0.0,280.0,-1300.3379229646657,-1275.4431686555806,-1275.4431686555806
393000.0,360000.0,-15808.14205895,-1092272.56595,650.0,-723.561801735,3.0168680128450003,17913.7978402,-3930.22717268,-906.119500507,-3930.22717268,-1581.6886863573595,0.0,280.0,-1392.6016504192776,-1356.525631664185,-1356.525631664185
398000.0,396000.0,-21114.038543100003,-1092150.860525,650.0,-712.3149868355,11.04818074145,11942.531893475,-8041.728515315001,-988.2288444155,-8041.728515315001,-1626.2742687838906,0.0,120.0,-1494.101818128022,-1439.2055817032367,-1439.2055817032367
403000.0,396000.0,-25843.31584235,-1092045.479025,650.0,-700.034385735,38.6931707672,18832.45413975,-14287.0048823,-1076.286297895,-14287.0048823,-1636.5632493438593,0.0,120.0,-1580.9532484055726,-1518.1034742490135,-1518.1034742490135
408000.0,396000.0,-30840.20633325,-1091935.9402450002,650.0,-687.2506377905,18.4988872496,20210.438589,-12480.22900345,-1174.9518317799998,-12480.22900345,-1664.0005308371094,0.0,120.0,-1647.3460331663098,-1587.8397647777929,-1587.8397647777929
413000.0,396000.0,-35851.350596599994,-1091822.160625,650.0,-676.7977302915,7.19055798562,24344.39193675,-7335.68408174,-1266.32158945,-7335.68408174,-1694.8674725170158,0.0,120.0,-1693.280172410233,-1643.034908765853,-1643.034908765853
418000.0,396000.0,-40777.53071305,-1091701.59552,650.0,-669.8983193275001,5.41517057497,22507.07933775,-5149.2314451,-1336.812103625,-5149.2314451,-1672.338165120822,0.0,120.0,-1718.7556661373426,-1678.7397252513695,-1678.7397252513695
423000.0,396000.0,-45739.61460445,-1091580.529925,650.0,-665.9718612280001,3.976956404285,10564.547444275,-4419.017822075,-1381.7898467,-4419.017822075,-1599.4413322177184,0.0,120.0,-1723.7725143476387,-1694.0207645676726,-1694.0207645676726
428000.0,396000.0,-49019.475942549994,-1091499.6814350002,650.0,-664.4716876699999,1.74275718716,8267.9066955,-2967.92504869,-1395.52931766,-2967.92504869,-1594.0415668174887,0.0,120.0,-1708.3307170411208,-1690.0635505331595,-1690.0635505331595
433000.0,432000.0,-55806.41975215,-1091362.651335,650.0,-661.7451102385,3.202521351095,20210.438588949997,-4324.188476375,-1406.80680375,-4324.188476375,-1557.5931503659367,0.0,131.0,-1672.6394843033893,-1668.611500527829,-1668.611500527829
438000.0,432000.0,-60770.513227949996,-1091341.39714,650.0,-658.198785238,1.958038803405,10105.219294474999,-3422.514648285,-1408.8085111300002,-3422.514648285,-1514.3950271640979,0.0,131.0,-1623.6027489592338,-1631.4080319316781,-1631.4080319316781
443000.0,432000.0,-65883.25329165,-1091321.53456,650.0,-652.3923267885,6.4106541174650005,16076.4852412,-6902.3562009,-1422.5703002999999,-6902.3562009,-1487.3962001629484,0.0,131.0,-1564.5678723782498,-1580.1965621247045,-1580.1965621247045
448000.0,432000.0,-70812.16023750001,-1091300.8772,650.0,-644.4467681589999,1.7010311253200001,18832.45413975,-2984.9656981050002,-1448.883350175,-2984.9656981050002,-1476.5966693624887,0.0,131.0,-1495.534854560437,-1516.7205084869056,-1516.7205084869056
